1996-03-18,13.407
1996-03-19,14.725
1996-03-20,20.564
1996-03-21,34.708
1996-03-22,26.630
1996-03-23,16.610
1996-03-24,15.320
1996-03-25,11.607
1996-03-26,19.884
1996-03-27,23.767
1996-03-28,34.028
1996-03-29,33.787
1996-03-30,18.254
1996-03-31,19.388
1996-04-01,17.262
1996-04-02,23.810
1996-04-03,36.125
1996-04-04,33.603
1996-04-05,32.625
1996-04-06,7.483
1996-04-07,
1996-04-08,10.133
1996-04-09,17.914
1996-04-10,22.123
1996-04-11,33.234
1996-04-12,33.092
1996-04-13,20.011
1996-04-14,17.134
1996-04-15,14.172
1996-04-16,18.764
1996-04-17,19.770
1996-04-18,35.488
1996-04-19,33.277
1996-04-20,16.908
1996-04-21,9.311
1996-04-22,3.203
1996-04-23,22.350
1996-04-24,18.141
1996-04-25,24.532
1996-04-26,7.398
1996-04-27,
1996-04-28,12.628
1996-04-29,11.721
1996-04-30,22.662
1996-05-01,22.506
1996-05-02,34.255
1996-05-03,32.639
1996-05-04,
1996-05-05,49.050
1996-05-06,16.624
1996-05-07,20.493
1996-05-08,22.945
1996-05-09,32.781
1996-05-10,6.916
1996-05-11,
1996-05-12,34.467
1996-05-13,15.023
1996-05-14,19.473
1996-05-15,22.548
1996-05-16,35.374
1996-05-17,28.359
1996-05-18,18.849
1996-05-19,15.334
1996-05-20,13.265
1996-05-21,17.942
1996-05-22,23.469
1996-05-23,12.146
1996-05-24,21.060
1996-05-25,15.873
1996-05-26,17.134
1996-05-27,17.715
1996-05-28,20.564
1996-05-29,26.531
1996-05-30,34.113
1996-05-31,28.727
1996-06-01,19.501
1996-06-02,17.106
1996-06-03,16.426
1996-06-04,19.444
1996-06-05,23.484
1996-06-06,36.168
1996-06-07,28.741
1996-06-08,19.629
1996-06-09,19.232
1996-06-10,12.741
1996-06-11,19.785
1996-06-12,24.575
1996-06-13,36.565
1996-06-14,27.395
1996-06-15,5.570
1996-06-16,7.100
1996-06-17,20.111
1996-06-18,19.799
1996-06-19,23.838
1996-06-20,37.160
1996-06-21,30.811
1996-06-22,17.588
1996-06-23,16.922
1996-06-24,16.837
1996-06-25,17.531
1996-06-26,21.995
1996-06-27,32.440
1996-06-28,30.726
1996-06-29,21.811
1996-06-30,18.424
1996-07-01,19.359
1996-07-02,18.552
1996-07-03,22.548
1996-07-04,39.456
1996-07-05,35.176
1996-07-06,18.013
1996-07-07,19.515
1996-07-08,15.618
1996-07-09,20.663
1996-07-10,26.460
1996-07-11,37.330
1996-07-12,31.023
1996-07-13,21.188
1996-07-14,15.136
1996-07-15,18.211
1996-07-16,23.838
1996-07-17,28.699
1996-07-18,40.802
1996-07-19,30.201
1996-07-20,20.933
1996-07-21,20.380
1996-07-22,16.454
1996-07-23,22.251
1996-07-24,27.565
1996-07-25,35.743
1996-07-26,29.464
1996-07-27,20.125
1996-07-28,19.033
1996-07-29,17.276
1996-07-30,25.255
1996-07-31,24.490
1996-08-01,39.853
1996-08-02,33.064
1996-08-03,21.344
1996-08-04,21.670
1996-08-05,16.780
1996-08-06,23.158
1996-08-07,27.679
1996-08-08,41.241
1996-08-09,26.942
1996-08-10,21.967
1996-08-11,19.033
1996-08-12,15.108
1996-08-13,26.276
1996-08-14,26.573
1996-08-15,40.221
1996-08-16,35.119
1996-08-17,21.613
1996-08-18,20.862
1996-08-19,16.723
1996-08-20,22.860
1996-08-21,27.707
1996-08-22,36.933
1996-08-23,32.653
1996-08-24,21.684
1996-08-25,0.000
1996-08-26,14.810
1996-08-27,22.633
1996-08-28,28.841
1996-08-29,41.327
1996-08-30,35.360
1996-08-31,22.066
1996-09-01,23.484
1996-09-02,19.827
1996-09-03,21.769
1996-09-04,25.624
1996-09-05,39.697
1996-09-06,30.867
1996-09-07,22.024
1996-09-08,20.706
1996-09-09,13.620
1996-09-10,20.437
1996-09-11,29.039
1996-09-12,38.492
